participant,juego_norm,pupil_mean,pupil_std,movimiento_mean,gaze_x_var,gaze_y_var,asco,ira/enfado,ansiedad,miedo,frustración,entusiasmo/excitación,alegría,felicidad/placer,tristeza/depresión,fatiga/cansancio,aburrimiento,satisfacción,relax,nasa_mental,nasa_fisica,nasa_temporal,nasa_rendimiento,nasa_esfuerzo,nasa_frustracion,nasa_rendimiento_inv,afecto_positivo,afecto_negativo,balance_emocional,nasa_carga_total
td22110900,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,3,2,2,4,3,2,1,3,1,3,1,6,7,9,8,8,5,3,2.6,1.875,0.7250000000000001,6.333333333333333
td22110900,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,3,3,3,4,2,3,2,3,1,4,1,7,4,9,7,7,3,4,2.8,2.25,0.5499999999999998,5.666666666666667
zz04110900,fallguys,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,1,1,2,1,3,5,5,5,2,2,2,4,3,3,3,6,5,4,2,6,4.4,1.75,2.6500000000000004,4.0
zz04110900,fallguys,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,1,1,2,1,3,5,5,5,2,2,2,4,3,3,3,6,5,4,2,6,4.4,1.75,2.6500000000000004,4.0
zz04110900,sonic,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,3,4,3,1,5,4,5,5,1,3,3,4,2,3,5,8,3,6,7,8,4.0,2.875,1.125,6.166666666666667
zz04110900,tetris,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,1,2,3,1,3,4,4,4,1,1,3,4,2,6,1,3,7,6,5,4,3.6,1.875,1.725,4.166666666666667
zz04110900,tetris,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,1,2,3,1,3,4,4,4,1,1,3,4,2,6,1,3,7,6,5,4,3.6,1.875,1.725,4.166666666666667
zz06110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,5,1,3,5,4,5,1,4,1,5,3,7,8,7,10,7,6,1,4.4,2.25,2.1500000000000004,6.0
zz06110900,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,5,1,3,5,4,5,1,4,1,5,3,7,8,7,10,7,6,1,4.4,2.25,2.1500000000000004,6.0
zz06110900,sonic,3.3931688233230703,0.31712244811256285,14.686812989811173,0.062168297756669044,0.09537159083890769,1,2,4,1,3,5,5,4,1,4,2,5,3,7,7,6,9,8,4,2,4.4,2.25,2.1500000000000004,5.666666666666667
zz06110900,tetris,3.247655683254461,0.22793654517540904,15.11432433317516,0.06382078078967258,0.14442590793238616,1,1,5,1,4,4,3,5,2,4,1,4,1,8,4,7,8,9,8,3,3.4,2.375,1.025,6.5
zz06110900,tetris,3.247655683254461,0.22793654517540904,15.11432433317516,0.06382078078967258,0.14442590793238616,1,1,5,1,4,4,3,5,2,4,1,4,1,8,4,7,8,9,8,3,3.4,2.375,1.025,6.5
